addr,age,company,edu,link,money,title
深圳,3-5年,高腾国际资产管理有限公司,本科,https://www.liepin.com/job/1946501503.shtml?d_sfrom=search_prime&d_ckId=b56e3a3edfb46646a6d28e7197352bfd&d_curPage=0&d_pageSize=40&d_headId=b56e3a3edfb46646a6d28e7197352bfd&d_posi=0&skId=dedb4fb55948b8d9ba075a0bfb11159e&fkId=dedb4fb55948b8d9ba075a0bfb11159e&ckId=dedb4fb55948b8d9ba075a0bfb11159e&sfrom=search_job_pc&curPage=0&pageSize=40&index=0,面议,后端开发工程师
北京-朝阳区,1-3年,智塑健康科技(嘉兴)有限公司,统招本科,https://www.liepin.com/job/1947517519.shtml?d_sfrom=search_prime&d_ckId=b56e3a3edfb46646a6d28e7197352bfd&d_curPage=0&d_pageSize=40&d_headId=b56e3a3edfb46646a6d28e7197352bfd&d_posi=1&skId=dedb4fb55948b8d9ba075a0bfb11159e&fkId=dedb4fb55948b8d9ba075a0bfb11159e&ckId=dedb4fb55948b8d9ba075a0bfb11159e&sfrom=search_job_pc&curPage=0&pageSize=40&index=1,18-35k,几何算法工程师
上海-闵行区,3-5年,华夏邓白氏,本科,https://www.liepin.com/job/1949670875.shtml?d_sfrom=search_prime&d_ckId=b56e3a3edfb46646a6d28e7197352bfd&d_curPage=0&d_pageSize=40&d_headId=b56e3a3edfb46646a6d28e7197352bfd&d_posi=2&skId=dedb4fb55948b8d9ba075a0bfb11159e&fkId=dedb4fb55948b8d9ba075a0bfb11159e&ckId=dedb4fb55948b8d9ba075a0bfb11159e&sfrom=search_job_pc&curPage=0&pageSize=40&index=2,面议,Software Engineer (China RPA)
上海-黄浦区,1-3年,央视市场研究,统招本科,https://www.liepin.com/job/1935856815.shtml?d_sfrom=search_prime&d_ckId=b56e3a3edfb46646a6d28e7197352bfd&d_curPage=0&d_pageSize=40&d_headId=b56e3a3edfb46646a6d28e7197352bfd&d_posi=3&skId=dedb4fb55948b8d9ba075a0bfb11159e&fkId=dedb4fb55948b8d9ba075a0bfb11159e&ckId=dedb4fb55948b8d9ba075a0bfb11159e&sfrom=search_job_pc&curPage=0&pageSize=40&index=3,15-25k·14薪,Data Analyst (Advanced Python or R user)
深圳-南山区,3-5年,埃克斯工业(广东)有限公司,统招本科,https://www.liepin.com/job/1944056693.shtml?d_sfrom=search_prime&d_ckId=b56e3a3edfb46646a6d28e7197352bfd&d_curPage=0&d_pageSize=40&d_headId=b56e3a3edfb46646a6d28e7197352bfd&d_posi=4&skId=dedb4fb55948b8d9ba075a0bfb11159e&fkId=dedb4fb55948b8d9ba075a0bfb11159e&ckId=dedb4fb55948b8d9ba075a0bfb11159e&sfrom=search_job_pc&curPage=0&pageSize=40&index=4,20-35k,python后端开发工程师
北京-海淀区,1-3年,中科创达软件股份有限公司,大专,https://www.liepin.com/job/1949916857.shtml?d_sfrom=search_prime&d_ckId=b56e3a3edfb46646a6d28e7197352bfd&d_curPage=0&d_pageSize=40&d_headId=b56e3a3edfb46646a6d28e7197352bfd&d_posi=5&skId=dedb4fb55948b8d9ba075a0bfb11159e&fkId=dedb4fb55948b8d9ba075a0bfb11159e&ckId=dedb4fb55948b8d9ba075a0bfb11159e&sfrom=search_job_pc&curPage=0&pageSize=40&index=5,13-20k·13薪,测试开发（python)
天津,3-5年,莱科德信息科技(天津)有限公司,本科,https://www.liepin.com/job/1949753389.shtml?d_sfrom=search_prime&d_ckId=b56e3a3edfb46646a6d28e7197352bfd&d_curPage=0&d_pageSize=40&d_headId=b56e3a3edfb46646a6d28e7197352bfd&d_posi=6&skId=dedb4fb55948b8d9ba075a0bfb11159e&fkId=dedb4fb55948b8d9ba075a0bfb11159e&ckId=dedb4fb55948b8d9ba075a0bfb11159e&sfrom=search_job_pc&curPage=0&pageSize=40&index=6,20-35k·13薪,python工程师 (远程办公)
广州-番禺区,经验不限,深圳虾皮信息科技有限公司,统招本科,https://www.liepin.com/job/1949917359.shtml?d_sfrom=search_prime&d_ckId=b56e3a3edfb46646a6d28e7197352bfd&d_curPage=0&d_pageSize=40&d_headId=b56e3a3edfb46646a6d28e7197352bfd&d_posi=7&skId=dedb4fb55948b8d9ba075a0bfb11159e&fkId=dedb4fb55948b8d9ba075a0bfb11159e&ckId=dedb4fb55948b8d9ba075a0bfb11159e&sfrom=search_job_pc&curPage=0&pageSize=40&index=7,2-3k,python实习生
上海-徐汇区,经验不限,美光半导体,学历不限,https://www.liepin.com/job/1949466059.shtml?d_sfrom=search_prime&d_ckId=b56e3a3edfb46646a6d28e7197352bfd&d_curPage=0&d_pageSize=40&d_headId=b56e3a3edfb46646a6d28e7197352bfd&d_posi=8&skId=dedb4fb55948b8d9ba075a0bfb11159e&fkId=dedb4fb55948b8d9ba075a0bfb11159e&ckId=dedb4fb55948b8d9ba075a0bfb11159e&sfrom=search_job_pc&curPage=0&pageSize=40&index=8,20-40k·14薪,MNAND Validation Engineer-Python
镇江-京口区,3-5年,新越高新,统招本科,https://www.liepin.com/job/1948858141.shtml?d_sfrom=search_prime&d_ckId=b56e3a3edfb46646a6d28e7197352bfd&d_curPage=0&d_pageSize=40&d_headId=b56e3a3edfb46646a6d28e7197352bfd&d_posi=9&skId=dedb4fb55948b8d9ba075a0bfb11159e&fkId=dedb4fb55948b8d9ba075a0bfb11159e&ckId=dedb4fb55948b8d9ba075a0bfb11159e&sfrom=search_job_pc&curPage=0&pageSize=40&index=9,10-15k·13薪,数据工程师
