title,link,company,money,addr,age,edu
全栈开发工程师,https://www.liepin.com/job/1942958971.shtml?d_sfrom=search_prime&d_ckId=cbcd56387d2cb7b84a7378ff542fa68a&d_curPage=0&d_pageSize=40&d_headId=cbcd56387d2cb7b84a7378ff542fa68a&d_posi=0,西云数据,30-50k,北京,5-10年,本科及以上
python,https://www.liepin.com/job/1943316409.shtml?d_sfrom=search_prime&d_ckId=cbcd56387d2cb7b84a7378ff542fa68a&d_curPage=0&d_pageSize=40&d_headId=cbcd56387d2cb7b84a7378ff542fa68a&d_posi=1,北京同道英语有限公司,13-14k,拉萨,3-5年,本科及以上
AGV软件研发工程师,https://www.liepin.com/job/1944599313.shtml?d_sfrom=search_prime&d_ckId=cbcd56387d2cb7b84a7378ff542fa68a&d_curPage=0&d_pageSize=40&d_headId=cbcd56387d2cb7b84a7378ff542fa68a&d_posi=2,东翼长启科技(重庆)有限公司,20-30k·13薪,深圳-南山区,3-5年,本科及以上
Python后端工程师,https://www.liepin.com/job/1944074827.shtml?d_sfrom=search_prime&d_ckId=cbcd56387d2cb7b84a7378ff542fa68a&d_curPage=0&d_pageSize=40&d_headId=cbcd56387d2cb7b84a7378ff542fa68a&d_posi=3,上海宾孚数字科技集团有限公司,10-15k,上海-长宁区,1-3年,大专及以上
RF研发工程师,https://www.liepin.com/job/1944241629.shtml?d_sfrom=search_prime&d_ckId=cbcd56387d2cb7b84a7378ff542fa68a&d_curPage=0&d_pageSize=40&d_headId=cbcd56387d2cb7b84a7378ff542fa68a&d_posi=4,罗德与施瓦茨,15-30k,北京,3-5年,统招本科
软件工程师,https://www.liepin.com/job/1926194519.shtml?d_sfrom=search_prime&d_ckId=cbcd56387d2cb7b84a7378ff542fa68a&d_curPage=0&d_pageSize=40&d_headId=cbcd56387d2cb7b84a7378ff542fa68a&d_posi=5,牧今科技(广州)有限责任公司,20-30k,广州-海珠区,1-3年,本科及以上
量化开发工程师,https://www.liepin.com/job/1940881611.shtml?d_sfrom=search_prime&d_ckId=cbcd56387d2cb7b84a7378ff542fa68a&d_curPage=0&d_pageSize=40&d_headId=cbcd56387d2cb7b84a7378ff542fa68a&d_posi=6,鸣石投资,20-25k,上海-浦东新区,1-3年,本科及以上
Python 工程师 (MJ000040),https://www.liepin.com/job/1941656063.shtml?d_sfrom=search_prime&d_ckId=cbcd56387d2cb7b84a7378ff542fa68a&d_curPage=0&d_pageSize=40&d_headId=cbcd56387d2cb7b84a7378ff542fa68a&d_posi=7,快仓智能,10-20k,上海,1-3年,本科及以上
Python人工智能课程研发,https://www.liepin.com/job/1944657393.shtml?d_sfrom=search_prime&d_ckId=cbcd56387d2cb7b84a7378ff542fa68a&d_curPage=0&d_pageSize=40&d_headId=cbcd56387d2cb7b84a7378ff542fa68a&d_posi=8,东软教育科技集团,8-15k,大连,1-3年,统招本科
Python人工智能课程研发,https://www.liepin.com/job/1944657109.shtml?d_sfrom=search_prime&d_ckId=cbcd56387d2cb7b84a7378ff542fa68a&d_curPage=0&d_pageSize=40&d_headId=cbcd56387d2cb7b84a7378ff542fa68a&d_posi=9,东软教育科技集团,8-15k,沈阳-浑南区,1-3年,统招本科
python (万海大厦）,https://www.liepin.com/job/1944691099.shtml?d_sfrom=search_prime&d_ckId=cbcd56387d2cb7b84a7378ff542fa68a&d_curPage=0&d_pageSize=40&d_headId=cbcd56387d2cb7b84a7378ff542fa68a&d_posi=10,深圳华云信息系统有限公司,14-15k·13薪,深圳,1-3年,统招本科
Python课程开发,https://www.liepin.com/job/1944380497.shtml?d_sfrom=search_prime&d_ckId=cbcd56387d2cb7b84a7378ff542fa68a&d_curPage=0&d_pageSize=40&d_headId=cbcd56387d2cb7b84a7378ff542fa68a&d_posi=11,新道科技股份有限公司,15-25k·14薪,北京,经验不限,本科及以上
python开发工程师,https://www.liepin.com/job/1942358839.shtml?d_sfrom=search_prime&d_ckId=cbcd56387d2cb7b84a7378ff542fa68a&d_curPage=0&d_pageSize=40&d_headId=cbcd56387d2cb7b84a7378ff542fa68a&d_posi=12,小i机器人,12-18k,上海,1-3年,统招本科
研发工程师 python,https://www.liepin.com/job/1942082299.shtml?d_sfrom=search_prime&d_ckId=cbcd56387d2cb7b84a7378ff542fa68a&d_curPage=0&d_pageSize=40&d_headId=cbcd56387d2cb7b84a7378ff542fa68a&d_posi=13,麒麟软件有限公司,15-25k,北京-海淀区,3-5年,统招本科
python工程师,https://www.liepin.com/a/31719525.shtml?d_sfrom=search_prime&d_ckId=cbcd56387d2cb7b84a7378ff542fa68a&d_curPage=0&d_pageSize=40&d_headId=cbcd56387d2cb7b84a7378ff542fa68a&d_posi=14,元兵科技,11-15k,苏州-工业园区,3-5年,本科及以上
python,https://www.liepin.com/a/31713651.shtml?d_sfrom=search_prime&d_ckId=cbcd56387d2cb7b84a7378ff542fa68a&d_curPage=0&d_pageSize=40&d_headId=cbcd56387d2cb7b84a7378ff542fa68a&d_posi=15,杭州某互联网公司,20-40k·13薪,杭州-滨江区,3-5年,统招本科
python,https://www.liepin.com/a/31703631.shtml?d_sfrom=search_prime&d_ckId=cbcd56387d2cb7b84a7378ff542fa68a&d_curPage=0&d_pageSize=40&d_headId=cbcd56387d2cb7b84a7378ff542fa68a&d_posi=16,某saas平台公司,13-22k·13薪,成都,3-5年,统招本科
python研发工程师,https://www.liepin.com/a/31701423.shtml?d_sfrom=search_prime&d_ckId=cbcd56387d2cb7b84a7378ff542fa68a&d_curPage=0&d_pageSize=40&d_headId=cbcd56387d2cb7b84a7378ff542fa68a&d_posi=17,某,11-16k,苏州,经验不限,大专及以上
Python研发工程师,https://www.liepin.com/a/31687871.shtml?d_sfrom=search_prime&d_ckId=cbcd56387d2cb7b84a7378ff542fa68a&d_curPage=0&d_pageSize=40&d_headId=cbcd56387d2cb7b84a7378ff542fa68a&d_posi=18,知名互联网公司,10-15k·13薪,苏州,3-5年,大专及以上
python开发工程师,https://www.liepin.com/a/31460309.shtml?d_sfrom=search_prime&d_ckId=cbcd56387d2cb7b84a7378ff542fa68a&d_curPage=0&d_pageSize=40&d_headId=cbcd56387d2cb7b84a7378ff542fa68a&d_posi=19,某能源公司,15-25k·13薪,上海-长宁区,5-10年,统招本科
