comp_name,job_salary,name,title
美团配送合作商,8000-9999元/月,送餐员轻松稳定8K+,餐饮管理
美团配送合作商,8888-9999元/月,珠江新城骑手9K+车住,餐饮管理
美团配送合作商,6000-12000元/月,江南西招骑手兵强马壮,餐饮管理
美团配送合作商,8888-9999元/月,早起进厂不如十点配送,餐饮管理
美团配送合作商,8888-9999元/月,逍遥自在10/单骑手,餐饮管理
北京三快到家科技有限公司,8000-15000元/月,五险一金月8000+配车,餐饮管理
美团配送合作商,8000-15000元/月,骑手能吃苦+月入一万五,餐饮管理
美团配送合作商,8000-15000元/月,拎包入职骑手+配车+爆单,餐饮管理
美团配送合作商,7000-14000元/月,人和招会玩王者的骑手有车,餐饮管理
美团配送合作商,8000-9999元/月,送餐员/有车/8K+太和,餐饮管理
美团配送合作商,8000-15000元/月,时间自由配送骑手月入过W,餐饮管理
美团配送合作商,8000-16000元/月,三元里单多好跑可供车包住,餐饮管理
美团配送合作商,7000-10000元/月,美团9K送餐员提供车住,餐饮管理
美团配送合作商,9000-14000元/月,江南西直招美团骑手9K,餐饮管理
美团配送合作商,7000-10000元/月,骑手单多+车住,餐饮管理
美团配送合作商,10000-15000元/月,海珠急招美团骑手10K,餐饮管理
美团配送合作商,10000-15000元/月,太古汇急招美团骑手10K,餐饮管理
北京三快到家科技有限公司,8000-15000元/月,不限工龄包住月1.5w,餐饮管理
北京三快到家科技有限公司,9000-17000元/月,不限工龄包吃月1.7w,餐饮管理
美团配送合作商,8000-10000元/月,美团骑手,餐饮管理
北京三快到家科技有限公司,8000-13000元/月,越秀淘金急招骑手提供车住,餐饮管理
美团配送合作商,6888-12800元/月,急聘送餐员有商保配车住,餐饮管理
美团配送合作商,8000-15000元/月,不想摆烂就来人和做骑手,餐饮管理
美团配送合作商,8000-13000元/月,吃得苦中苦工资一万五,餐饮管理
美团配送合作商,8000-16000元/月,大石高薪直招送餐员配车,餐饮管理
美团配送合作商,6000-12000元/月,番禺高薪骑手送餐员,餐饮管理
北京三快到家科技有限公司,7000-10000元/月,南岗站点直招买菜配送员,餐饮管理
美团配送合作商,8000-15000元/月,只要能吃苦月入一万五,餐饮管理
美团配送合作商,9000-15000元/月,海珠急招外卖9K起,餐饮管理
美团配送合作商,9000-15000元/月,天河直招美团9K,餐饮管理
美团配送合作商,7000-14000元/月,人和招骑手会玩王者有车,餐饮管理
美团配送合作商,7000-14000元/月,大石招会玩王者的骑手有车,餐饮管理
美团配送合作商,7000-12000元/月,美团站点直招8k配车,餐饮管理
